Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,MEASURE error,Operational
0,253.48015742321363,114.73657474887688,0.009765625,0.017333984375,0.002197265625,2584.0,0.000591721963879924,36.0,0.000591721963879924,0.0,0.000591721963879924,0.000591721963879924,0.0023193359375,Yes
1,160.4088276514333,132.650904168516,0.014404296875,0.0244140625,0.00439453125,2584.0,0.0002868763064152417,36.0,0.0002868763064152417,0.0,0.0002868763064152417,0.0002868763064152417,0.007080078125,Yes
2,347.65924834098666,468.5139289124524,0.0059814453125,0.01025390625,0.001708984375,2584.0,0.00014470698432457913,36.0,0.00014470698432457913,0.0,0.00014470698432457913,0.00014470698432457913,0.0047607421875,Yes
3,378.94759921775636,255.37686564819796,0.0054931640625,0.00634765625,0.004638671875,2584.0,0.0003574923950132076,36.0,0.0003574923950132076,0.0,0.0003574923950132076,0.0003574923950132076,0.01025390625,Yes
4,226.58319140998776,146.11313722371935,0.0115966796875,0.0224609375,0.000732421875,2584.0,0.00037320202330408056,36.0,0.00037320202330408056,0.0,0.00037320202330408056,0.00037320202330408056,0.0101318359375,Yes
5,285.6219611956308,223.62510641487066,0.00390625,0.006103515625,0.001708984375,2584.0,0.00018120173818015278,36.0,0.00018120173818015278,0.0,0.00018120173818015278,0.00018120173818015278,0.0037841796875,Yes
6,220.30728954403284,152.14044697507288,0.00439453125,0.005615234375,0.003173828125,2584.0,0.00028216719952284887,36.0,0.00028216719952284887,0.0,0.00028216719952284887,0.00028216719952284887,0.0228271484375,Yes
7,280.9538516082856,118.44002691756556,0.0101318359375,0.018310546875,0.001953125,2584.0,0.00011722149120464573,36.0,0.00011722149120464573,0.0,0.00011722149120464573,0.00011722149120464573,0.0035400390625,Yes
8,224.3121103274388,106.47246558779098,0.00537109375,0.009521484375,0.001220703125,2584.0,0.0005967327948574952,36.0,0.0005967327948574952,0.0,0.0005967327948574952,0.0005967327948574952,0.009033203125,Yes
9,235.52512231882,243.44898575808116,0.029296875,0.02197265625,0.03662109375,2584.0,0.0002517292083170586,36.0,0.0002517292083170586,0.0,0.0002517292083170586,0.0002517292083170586,0.0162353515625,Yes
10,247.73500391949685,116.21351826614887,0.013916015625,0.01953125,0.010009765625,2584.0,0.00023834404937383708,36.0,0.00023834404937383708,0.0,0.00023834404937383708,0.00023834404937383708,0.0042724609375,Yes
11,315.01048661222495,217.7051113887617,0.020263671875,0.0185546875,0.02197265625,2584.0,0.0003413875137795495,36.0,0.0003413875137795495,0.0,0.0003413875137795495,0.0003413875137795495,0.0103759765625,Yes
12,300.7685823186218,134.31798965297813,0.00537109375,0.009033203125,0.001708984375,2584.0,0.00027186899051131195,36.0,0.00027186899051131195,0.0,0.00027186899051131195,0.00027186899051131195,0.01416015625,Yes
13,226.06201699103477,180.93249206787422,0.033935546875,0.028076171875,0.039794921875,2584.0,0.00013823129180261007,36.0,0.00013823129180261007,0.0,0.00013823129180261007,0.00013823129180261007,0.008056640625,Yes
14,344.0344439762139,145.84330310377763,0.0050048828125,0.00927734375,0.000732421875,2584.0,0.00014241426718989705,36.0,0.00014241426718989705,0.0,0.00014241426718989705,0.00014241426718989705,0.002685546875,Yes
15,369.9476664521398,28.44170507884457,0.02685546875,0.050537109375,0.003173828125,2584.0,0.00015886281640439993,36.0,0.00015886281640439993,0.0,0.00015886281640439993,0.00015886281640439993,0.1275634765625,Yes
16,142.60713276799675,114.59798490160802,0.0062255859375,0.01220703125,0.000244140625,2584.0,0.0014413327333897428,36.0,0.0014413327333897428,0.0,0.0014413327333897428,0.0014413327333897428,0.007568359375,Yes
17,298.3962077344483,10.112221925087818,0.00537109375,0.008544921875,0.002197265625,2584.0,0.00043660981608982134,36.0,0.00043660981608982134,0.0,0.00043660981608982134,0.00043660981608982134,0.0045166015625,Yes
18,97.74478236585122,97.13475084834097,0.016845703125,0.021728515625,0.011962890625,2584.0,0.0004144157303800834,36.0,0.0004144157303800834,0.0,0.0004144157303800834,0.0004144157303800834,0.0135498046875,Yes
19,127.42874319947634,60.44827697698392,0.0048828125,0.008544921875,0.001220703125,2584.0,0.00025457530171742697,36.0,0.00025457530171742697,0.0,0.00025457530171742697,0.00025457530171742697,0.007568359375,Yes
20,150.4366986999471,118.02363039412937,0.0084228515625,0.015869140625,0.0009765625,2584.0,0.00025424391151192895,36.0,0.00025424391151192895,0.0,0.00025424391151192895,0.00025424391151192895,0.0052490234375,Yes
21,320.7553223728421,214.97697988475375,0.0035400390625,0.00537109375,0.001708984375,2584.0,0.00020456855203434963,36.0,0.00020456855203434963,0.0,0.00020456855203434963,0.00020456855203434963,0.0050048828125,Yes
22,221.88195702583127,33.38884127012139,0.00830078125,0.013671875,0.0029296875,2584.0,0.0002499470716518359,36.0,0.0002499470716518359,0.0,0.0002499470716518359,0.0002499470716518359,0.0074462890625,Yes
23,209.95513075414354,154.46764410113374,0.3662109375,0.711669921875,0.020751953125,2584.0,0.00027651557709036374,36.0,0.00027651557709036374,0.0,0.00027651557709036374,0.00027651557709036374,0.0306396484375,Yes
