Qubit 1,Qubit 2,CZ error,Gate length (ns),RZZ error,Operational
0,1,0.00646540456471445,68.0,0.002333090329939974,Yes
1,0,0.00646540456471445,68.0,0.002333090329939974,Yes
1,2,0.0011844229445898968,68.0,0.0009434617823920743,Yes
2,1,0.0011844229445898968,68.0,0.0009434617823920743,Yes
2,3,0.0015701615606359964,68.0,0.002702856066368192,Yes
3,2,0.0015701615606359964,68.0,0.002702856066368192,Yes
3,4,0.0020619351685325915,80.0,0.004116255496731308,Yes
3,16,0.0018225074201367875,68.0,0.003124472366272446,Yes
4,3,0.0020619351685325915,80.0,0.004116255496731308,Yes
4,5,0.0029143723465958615,68.0,0.0016324540134856902,Yes
5,4,0.0029143723465958615,68.0,0.0016324540134856902,Yes
5,6,0.001844537367137078,68.0,0.0009488013323669942,Yes
6,5,0.001844537367137078,68.0,0.0009488013323669942,Yes
6,7,0.0015199173113203956,68.0,0.001366628620300403,Yes
7,6,0.0015199173113203956,68.0,0.001366628620300403,Yes
7,8,0.0017398239133391558,80.0,0.0019596376672192384,Yes
7,17,0.0017706313402990614,68.0,0.0015046732379292993,Yes
8,7,0.0017398239133391558,80.0,0.0019596376672192384,Yes
8,9,0.0035203279898522732,68.0,0.002239365148546363,Yes
9,8,0.0035203279898522732,68.0,0.002239365148546363,Yes
9,10,0.0019115980810722466,68.0,0.0015065796894391248,Yes
10,9,0.0019115980810722466,68.0,0.0015065796894391248,Yes
10,11,0.0024853943051222627,68.0,0.001424893444334302,Yes
11,10,0.0024853943051222627,68.0,0.001424893444334302,Yes
11,12,0.0016254283367030942,68.0,0.0016045190747370763,Yes
11,18,0.001856936446580415,68.0,0.0018315220580862324,Yes
12,11,0.0016254283367030942,68.0,0.0016045190747370763,Yes
12,13,0.0015630256255177721,80.0,0.0023347228283923105,Yes
13,12,0.0015630256255177721,80.0,0.0023347228283923105,Yes
13,14,0.0012614819832248159,80.0,0.0014270355063778772,Yes
14,13,0.0012614819832248159,80.0,0.0014270355063778772,Yes
14,15,0.0010984055337324439,68.0,0.0008445448331693972,Yes
15,14,0.0010984055337324439,68.0,0.0008445448331693972,Yes
15,19,0.0013622803633917824,68.0,0.0012235828022860162,Yes
16,3,0.0018225074201367875,68.0,0.003124472366272446,Yes
16,23,0.0018288625706109896,68.0,0.0016361528171777717,Yes
17,7,0.0017706313402990614,68.0,0.0015046732379292993,Yes
17,27,0.0029671055690737025,68.0,0.00221022888006564,Yes
18,11,0.001856936446580415,68.0,0.0018315220580862324,Yes
18,31,0.002635148503280782,68.0,0.0028203956709941247,Yes
19,15,0.0013622803633917824,68.0,0.0012235828022860162,Yes
19,35,0.0016034907057596026,80.0,0.0029086180677119766,Yes
20,21,0.0024032611481610844,68.0,0.002129285488703586,Yes
21,20,0.0024032611481610844,68.0,0.002129285488703586,Yes
21,22,0.0025098561342886128,68.0,0.0014722875704214766,Yes
21,36,0.0020175369689129086,68.0,0.0020785712468711637,Yes
22,21,0.0025098561342886128,68.0,0.0014722875704214766,Yes
22,23,0.003132438600566667,68.0,0.0038880805641203497,Yes
23,16,0.0018288625706109896,68.0,0.0016361528171777717,Yes
23,22,0.003132438600566667,68.0,0.0038880805641203497,Yes
23,24,0.004780005674480142,68.0,0.003604073439417127,Yes
24,23,0.004780005674480142,68.0,0.003604073439417127,Yes
24,25,0.004061258303615339,68.0,0.0028504222631990928,Yes
25,24,0.004061258303615339,68.0,0.0028504222631990928,Yes
25,26,0.02290997304306619,68.0,0.01169879985286279,Yes
25,37,0.0029966612737332143,68.0,0.003449611112075257,Yes
26,25,0.02290997304306619,68.0,0.01169879985286279,Yes
26,27,0.01582890707970669,68.0,0.011961959928338456,Yes
27,17,0.0029671055690737025,68.0,0.00221022888006564,Yes
27,26,0.01582890707970669,68.0,0.011961959928338456,Yes
27,28,0.002746133338126844,68.0,0.0018592657343909635,Yes
28,27,0.002746133338126844,68.0,0.0018592657343909635,Yes
28,29,0.003329612676734456,68.0,0.0033401666837513666,Yes
29,28,0.003329612676734456,68.0,0.0033401666837513666,Yes
29,30,0.002452892831296155,68.0,0.003958562925527209,Yes
29,38,0.0037556919755118434,68.0,0.004050588365532515,Yes
30,29,0.002452892831296155,68.0,0.003958562925527209,Yes
30,31,0.002932984130947558,68.0,0.002724545960690966,Yes
31,18,0.002635148503280782,68.0,0.0028203956709941247,Yes
31,30,0.002932984130947558,68.0,0.002724545960690966,Yes
31,32,0.00399945349196798,68.0,0.002211320577966719,Yes
32,31,0.00399945349196798,68.0,0.002211320577966719,Yes
32,33,0.002710594268225397,68.0,0.0018222446961055072,Yes
33,32,0.002710594268225397,68.0,0.0018222446961055072,Yes
33,34,0.0013996838233472364,68.0,0.0019793595455620816,Yes
33,39,0.0016722979423676732,68.0,1.0,Yes
34,33,0.0013996838233472364,68.0,0.0019793595455620816,Yes
34,35,0.0017901684832778153,68.0,0.0016094379122815194,Yes
35,19,0.0016034907057596026,80.0,0.0029086180677119766,Yes
35,34,0.0017901684832778153,68.0,0.0016094379122815194,Yes
36,21,0.0020175369689129086,68.0,0.0020785712468711637,Yes
36,41,0.005406581541417266,68.0,0.016125803279033263,Yes
37,25,0.0029966612737332143,68.0,0.003449611112075257,Yes
37,45,0.005615817697460307,68.0,0.00399425651860516,Yes
38,29,0.0037556919755118434,68.0,0.004050588365532515,Yes
38,49,0.004497788820826326,68.0,0.003018322509114685,Yes
39,33,0.0016722979423676732,68.0,1.0,Yes
39,53,0.001761128735284695,68.0,0.0023706831107571658,Yes
40,41,0.14252136824483977,68.0,0.06761997942328318,Yes
41,36,0.005406581541417266,68.0,0.016125803279033263,Yes
41,40,0.14252136824483977,68.0,0.06761997942328318,Yes
41,42,0.005021085399191688,68.0,0.01423467945059581,Yes
42,41,0.005021085399191688,68.0,0.01423467945059581,Yes
42,43,0.0036428640827602388,68.0,0.0039559441867196565,Yes
43,42,0.0036428640827602388,68.0,0.0039559441867196565,Yes
43,44,0.0014219350679782472,68.0,0.0015404703409352127,Yes
43,56,0.00180593113287289,68.0,0.002407788522205745,Yes
44,43,0.0014219350679782472,68.0,0.0015404703409352127,Yes
44,45,0.0030198141560457414,68.0,0.0018938798983353378,Yes
45,37,0.005615817697460307,68.0,0.00399425651860516,Yes
45,44,0.0030198141560457414,68.0,0.0018938798983353378,Yes
45,46,0.002772583501679665,68.0,0.0035912745816447655,Yes
46,45,0.002772583501679665,68.0,0.0035912745816447655,Yes
46,47,0.0033090527302837014,68.0,0.0029181163360642304,Yes
47,46,0.0033090527302837014,68.0,0.0029181163360642304,Yes
47,48,0.011085204444181096,68.0,0.009018892098871217,Yes
47,57,0.0030930116410745334,68.0,0.002293525753171849,Yes
48,47,0.011085204444181096,68.0,0.009018892098871217,Yes
48,49,0.010629892636516008,68.0,0.008196744868076589,Yes
49,38,0.004497788820826326,68.0,0.003018322509114685,Yes
49,48,0.010629892636516008,68.0,0.008196744868076589,Yes
