"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","121.699908395588","27.826243382504522","0.0113525390625","0.019775390625","0.0029296875","2584","0.000591721963879924","36","0.000591721963879924","0","0.000591721963879924","0.000591721963879924","1:0.00646540456471445","1:68","1:0.002333090329939974","0.0113525390625","Yes"
"1","209.4834380672164","154.71676068266615","0.005126953125","0.008056640625","0.002197265625","2584","0.0002868763064152417","36","0.0002868763064152417","0","0.0002868763064152417","0.0002868763064152417","2:0.0011844229445898968;0:0.00646540456471445","2:68;0:68","2:0.0009434617823920743;0:0.002333090329939974","0.005126953125","Yes"
"2","325.84495202146144","356.0693615392245","0.0625","0.04736328125","0.07763671875","2584","0.00014470698432457913","36","0.00014470698432457913","0","0.00014470698432457913","0.00014470698432457913","1:0.0011844229445898968;3:0.0015701615606359964","1:68;3:68","1:0.0009434617823920743;3:0.002702856066368192","0.0625","Yes"
"3","255.663697346951","196.98206380504834","0.0069580078125","0.00830078125","0.005615234375","2584","0.0003574923950132076","36","0.0003574923950132076","0","0.0003574923950132076","0.0003574923950132076","16:0.0018225074201367875;2:0.0015701615606359964;4:0.0020619351685325915","16:68;2:68;4:80","16:0.003124472366272446;2:0.002702856066368192;4:0.004116255496731308","0.0069580078125","Yes"
"4","206.96960488234657","192.03333931037568","0.0216064453125","0.040771484375","0.00244140625","2584","0.00037320202330408056","36","0.00037320202330408056","0","0.00037320202330408056","0.00037320202330408056","3:0.0020619351685325915;5:0.0029143723465958615","3:80;5:68","3:0.004116255496731308;5:0.0016324540134856902","0.0216064453125","Yes"
"5","288.2191356634201","195.56360670471418","0.005126953125","0.007568359375","0.002685546875","2584","0.00018120173818015278","36","0.00018120173818015278","0","0.00018120173818015278","0.00018120173818015278","6:0.001844537367137078;4:0.0029143723465958615","6:68;4:68","6:0.0009488013323669942;4:0.0016324540134856902","0.005126953125","Yes"
"6","105.72172461446367","116.16367649722334","0.0037841796875","0.00537109375","0.002197265625","2584","0.00028216719952284887","36","0.00028216719952284887","0","0.00028216719952284887","0.00028216719952284887","5:0.001844537367137078;7:0.0015199173113203956","5:68;7:68","5:0.0009488013323669942;7:0.001366628620300403","0.0037841796875","Yes"
"7","284.7817923735412","127.28724248436387","0.0037841796875","0.006591796875","0.0009765625","2584","0.00011722149120464573","36","0.00011722149120464573","0","0.00011722149120464573","0.00011722149120464573","17:0.0017706313402990614;6:0.0015199173113203956;8:0.0017398239133391558","17:68;6:68;8:80","17:0.0015046732379292993;6:0.001366628620300403;8:0.0019596376672192384","0.0037841796875","Yes"
"8","164.73955772990814","93.42011496325125","0.009521484375","0.0078125","0.01123046875","2584","0.0005967327948574952","36","0.0005967327948574952","0","0.0005967327948574952","0.0005967327948574952","9:0.0035203279898522732;7:0.0017398239133391558","9:68;7:80","9:0.002239365148546363;7:0.0019596376672192384","0.009521484375","Yes"
"9","220.7063602175884","235.49754991547766","0.0255126953125","0.020751953125","0.0302734375","2584","0.0002517292083170586","36","0.0002517292083170586","0","0.0002517292083170586","0.0002517292083170586","8:0.0035203279898522732;10:0.0019115980810722466","8:68;10:68","8:0.002239365148546363;10:0.0015065796894391248","0.0255126953125","Yes"
"10","349.8957513631597","130.3894084724853","0.0107421875","0.0146484375","0.003173828125","2584","0.00023834404937383708","36","0.00023834404937383708","0","0.00023834404937383708","0.00023834404937383708","9:0.0019115980810722466;11:0.0024853943051222627","9:68;11:68","9:0.0015065796894391248;11:0.001424893444334302","0.0107421875","Yes"
"11","208.33000827549483","169.69570927778864","0.011962890625","0.009033203125","0.014892578125","2584","0.0003413875137795495","36","0.0003413875137795495","0","0.0003413875137795495","0.0003413875137795495","18:0.001856936446580415;10:0.0024853943051222627;12:0.0016254283367030942","18:68;10:68;12:68","18:0.0018315220580862324;10:0.001424893444334302;12:0.0016045190747370763","0.011962890625","Yes"
"12","306.89861084181916","143.77572948165215","0.0087890625","0.0078125","0.009765625","2584","0.00027186899051131195","36","0.00027186899051131195","0","0.00027186899051131195","0.00027186899051131195","13:0.0015630256255177721;11:0.0016254283367030942","13:80;11:68","13:0.0023347228283923105;11:0.0016045190747370763","0.0087890625","Yes"
"13","178.5424567075042","152.919223901388","0.0123291015625","0.019775390625","0.0048828125","2584","0.00013823129180261007","36","0.00013823129180261007","0","0.00013823129180261007","0.00013823129180261007","12:0.0015630256255177721;14:0.0012614819832248159","12:80;14:80","12:0.0023347228283923105;14:0.0014270355063778772","0.0123291015625","Yes"
"14","197.07402963757164","116.08301754985746","0.003173828125","0.005126953125","0.001220703125","2584","0.00014241426718989705","36","0.00014241426718989705","0","0.00014241426718989705","0.00014241426718989705","15:0.0010984055337324439;13:0.0012614819832248159","15:68;13:80","15:0.0008445448331693972;13:0.0014270355063778772","0.003173828125","Yes"
"15","278.3497011159929","31.328881318323113","0.0042724609375","0.0068359375","0.001708984375","2584","0.00015886281640439993","36","0.00015886281640439993","0","0.00015886281640439993","0.00015886281640439993","14:0.0010984055337324439;19:0.0013622803633917824","14:68;19:68","14:0.0008445448331693972;19:0.0012235828022860162","0.0042724609375","Yes"
"16","141.79201602487257","104.28406136814651","0.0107421875","0.01953125","0.001953125","2584","0.0014413327333897428","36","0.0014413327333897428","0","0.0014413327333897428","0.0014413327333897428","23:0.0018288625706109896;3:0.0018225074201367875","23:68;3:68","23:0.0016361528171777717;3:0.003124472366272446","0.0107421875","Yes"
"17","221.69197543352925","11.377932851168467","0.0089111328125","0.012939453125","0.0048828125","2584","0.00043660981608982134","36","0.00043660981608982134","0","0.00043660981608982134","0.00043660981608982134","7:0.0017706313402990614;27:0.0029671055690737025","7:68;27:68","7:0.0015046732379292993;27:0.00221022888006564","0.0089111328125","Yes"
"18","94.28905486304366","90.83635468608597","0.0098876953125","0.016845703125","0.0029296875","2584","0.0004144157303800834","36","0.0004144157303800834","0","0.0004144157303800834","0.0004144157303800834","11:0.001856936446580415;31:0.002635148503280782","11:68;31:68","11:0.0018315220580862324;31:0.0028203956709941247","0.0098876953125","Yes"
"19","145.31230846105277","67.41066753598892","0.0054931640625","0.006103515625","0.0048828125","2584","0.00025457530171742697","36","0.00025457530171742697","0","0.00025457530171742697","0.00025457530171742697","35:0.0016034907057596026;15:0.0013622803633917824","35:80;15:68","35:0.0029086180677119766;15:0.0012235828022860162","0.0054931640625","Yes"
"20","156.10329588620107","201.1612183971492","0.0072021484375","0.01123046875","0.003173828125","2584","0.00025424391151192895","36","0.00025424391151192895","0","0.00025424391151192895","0.00025424391151192895","21:0.0024032611481610844","21:68","21:0.002129285488703586","0.0072021484375","Yes"
"21","270.50891549688697","194.95931287399515","0.0045166015625","0.007568359375","0.00146484375","2584","0.00020456855203434963","36","0.00020456855203434963","0","0.00020456855203434963","0.00020456855203434963","36:0.0020175369689129086;20:0.0024032611481610844;22:0.0025098561342886128","36:68;20:68;22:68","36:0.0020785712468711637;20:0.002129285488703586;22:0.0014722875704214766","0.0045166015625","Yes"
"22","220.37876348459395","39.06279224403228","0.0068359375","0.01123046875","0.00244140625","2584","0.0002499470716518359","36","0.0002499470716518359","0","0.0002499470716518359","0.0002499470716518359","23:0.003132438600566667;21:0.0025098561342886128","23:68;21:68","23:0.0038880805641203497;21:0.0014722875704214766","0.0068359375","Yes"
"23","265.70235396770966","159.55931538930474","0.0223388671875","0.02880859375","0.015869140625","2584","0.00027651557709036374","36","0.00027651557709036374","0","0.00027651557709036374","0.00027651557709036374","22:0.003132438600566667;24:0.004780005674480142;16:0.0018288625706109896","22:68;24:68;16:68","22:0.0038880805641203497;24:0.003604073439417127;16:0.0016361528171777717","0.0223388671875","Yes"
"24","155.37883715751303","89.90747412416314","0.0135498046875","0.017822265625","0.00927734375","2584","0.0005867941980953368","36","0.0005867941980953368","0","0.0005867941980953368","0.0005867941980953368","23:0.004780005674480142;25:0.004061258303615339","23:68;25:68","23:0.003604073439417127;25:0.0028504222631990928","0.0135498046875","Yes"
"25","75.22103861312895","43.138910132719296","0.016357421875","0.02197265625","0.0107421875","2584","0.000559483939923989","36","0.000559483939923989","0","0.000559483939923989","0.000559483939923989","24:0.004061258303615339;26:0.02290997304306619;37:0.0029966612737332143","24:68;26:68;37:68","24:0.0028504222631990928;26:0.01169879985286279;37:0.003449611112075257","0.016357421875","Yes"
"26","7.203741570869291","7.912894072773768","0.104736328125","0.095947265625","0.113525390625","2584","0.0028622693930206084","36","0.0028622693930206084","0","0.0028622693930206084","0.0028622693930206084","25:0.02290997304306619;27:0.01582890707970669","25:68;27:68","25:0.01169879985286279;27:0.011961959928338456","0.104736328125","Yes"
"27","201.39581364847228","173.7934262757078","0.01123046875","0.01123046875","0.003662109375","2584","0.0003166906846341349","36","0.0003166906846341349","0","0.0003166906846341349","0.0003166906846341349","26:0.01582890707970669;28:0.002746133338126844;17:0.0029671055690737025","26:68;28:68;17:68","26:0.011961959928338456;28:0.0018592657343909635;17:0.00221022888006564","0.01123046875","Yes"
"28","343.4341497060328","241.59064459346303","0.0093994140625","0.0087890625","0.010009765625","2584","0.00039876577922987245","36","0.00039876577922987245","0","0.00039876577922987245","0.00039876577922987245","27:0.002746133338126844;29:0.003329612676734456","27:68;29:68","27:0.0018592657343909635;29:0.0033401666837513666","0.0093994140625","Yes"
"29","102.44962758394666","86.03674512600257","0.0487060546875","0.0361328125","0.061279296875","2584","0.0005293293486820683","36","0.0005293293486820683","0","0.0005293293486820683","0.0005293293486820683","38:0.0037556919755118434;28:0.003329612676734456;30:0.002452892831296155","38:68;28:68;30:68","38:0.004050588365532515;28:0.0033401666837513666;30:0.003958562925527209","0.0487060546875","Yes"
"30","200.60602745865205","71.6536756984126","0.0107421875","0.01513671875","0.00634765625","2584","0.0005561827488196516","36","0.0005561827488196516","0","0.0005561827488196516","0.0005561827488196516","31:0.002932984130947558;29:0.002452892831296155","31:68;29:68","31:0.002724545960690966;29:0.003958562925527209","0.0107421875","Yes"
"31","175.0703807278046","70.06000943697116","0.02685546875","0.02197265625","0.03173828125","2584","0.00020420947950093707","36","0.00020420947950093707","0","0.00020420947950093707","0.00020420947950093707","30:0.002932984130947558;32:0.00399945349196798;18:0.002635148503280782","30:68;32:68;18:68","30:0.002724545960690966;32:0.002211320577966719;18:0.0028203956709941247","0.02685546875","Yes"
"32","120.01467081672979","52.97427257573208","0.01953125","0.0263671875","0.0126953125","2584","0.0006041113698438095","36","0.0006041113698438095","0","0.0006041113698438095","0.0006041113698438095","31:0.00399945349196798;33:0.002710594268225397","31:68;33:68","31:0.002211320577966719;33:0.0018222446961055072","0.01953125","Yes"
"33","146.82659822563747","132.93939738733943","0.02099609375","0.0244140625","0.017578125","2584","0.0002516957750497306","36","0.0002516957750497306","0","0.0002516957750497306","0.0002516957750497306","39:0.0016722979423676732;32:0.002710594268225397;34:0.0013996838233472364","39:68;32:68;34:68","32:0.0018222446961055072;34:0.0019793595455620816","0.02099609375","Yes"
"34","160.45497586644981","129.59653004030125","0.04638671875","0.087158203125","0.005615234375","2584","0.000456470933697119","36","0.000456470933697119","0","0.000456470933697119","0.000456470933697119","33:0.0013996838233472364;35:0.0017901684832778153","33:68;35:68","33:0.0019793595455620816;35:0.0016094379122815194","0.04638671875","Yes"
"35","470.0991554224592","455.4584509170574","0.019287109375","0.014404296875","0.024169921875","2584","0.00016792570180761685","36","0.00016792570180761685","0","0.00016792570180761685","0.00016792570180761685","19:0.0016034907057596026;34:0.0017901684832778153","19:80;34:68","19:0.0029086180677119766;34:0.0016094379122815194","0.019287109375","Yes"
"36","185.96592076376066","66.54116490913154","0.0391845703125","0.03369140625","0.044677734375","2584","0.0036961657903650702","36","0.0036961657903650702","0","0.0036961657903650702","0.0036961657903650702","41:0.005406581541417266;21:0.0020175369689129086","41:68;21:68","41:0.016125803279033263;21:0.0020785712468711637","0.0391845703125","Yes"
