subset,mean_HOP,hop_error
"(5, 6)",0.7977000000000003,0.04017147122025777
"(1, 2)",0.7968999999999999,0.04023063385033848
"(3, 4)",0.7963,0.04027484450621752
"(14, 15)",0.7963,0.04027484450621752
"(147, 148)",0.7959000000000002,0.04030424171225653
"(97, 107)",0.7955,0.040333577822950446
"(114, 115)",0.7954999999999999,0.04033357782295045
"(7, 17)",0.7953999999999999,0.040340902320101873
"(2, 3)",0.7951,0.0403628529715133
"(124, 125)",0.7950000000000003,0.040370162248868885
"(3, 16)",0.7942999999999999,0.04042122091179336
"(154, 155)",0.7942,0.040428499848497966
"(47, 57)",0.7939000000000002,0.040450313966643066
"(7, 8)",0.7938000000000001,0.04045757778216585
"(141, 142)",0.7938,0.040457577782165854
"(4, 5)",0.7936,0.040472094089631684
"(139, 155)",0.7935,0.0404793465856355
"(132, 133)",0.7930000000000001,0.04051555256935291
"(33, 34)",0.7929,0.04052278248096988
"(59, 75)",0.7928999999999999,0.04052278248096989
"(103, 104)",0.7928999999999999,0.04052278248096989
"(77, 85)",0.7925999999999999,0.040544449681799856
"(109, 110)",0.7925999999999999,0.040544449681799856
"(17, 27)",0.7924000000000002,0.04055887572406315
"(70, 71)",0.7922999999999999,0.0405660831237131
"(91, 98)",0.7915000000000001,0.04062360766844816
"(88, 89)",0.7912999999999998,0.040637951473960904
"(78, 89)",0.7911999999999998,0.04064511778799517
"(87, 97)",0.7911,0.040652280378842214
"(32, 33)",0.7909999999999999,0.04065943924846972
"(58, 71)",0.7905999999999999,0.040688037554052675
"(9, 10)",0.7903999999999999,0.04070231443050874
"(34, 35)",0.7902999999999999,0.04070944730649141
"(107, 108)",0.7902000000000001,0.040716576476909246
"(6, 7)",0.7902000000000001,0.040716576476909246
"(54, 55)",0.79,0.040730823708832596
"(106, 107)",0.7896,0.0407592737913717
"(91, 92)",0.7893000000000001,0.040780572580580564
"(137, 147)",0.7892,0.04078766480199621
"(127, 128)",0.7889999999999999,0.04080183819388534
"(74, 75)",0.7889999999999999,0.04080183819388534
"(15, 19)",0.7888,0.040815996863974795
"(131, 138)",0.7887000000000001,0.0408230706831321
"(133, 134)",0.7885000000000001,0.04083720729922652
"(19, 35)",0.7883,0.040851329231739814
"(84, 85)",0.7883,0.040851329231739814
"(152, 153)",0.7875999999999999,0.04090064058178063
"(146, 147)",0.7875,0.04090767042988393
